   posx(m)        px/pz(rad)         posy(m)       py/pz(rad)         posz(m)           pz/pz(rad)   
-0.0013358598        +0.13684327       +0.00071148811       -0.055718337       -4.2731688e-06       -4.9554637e-05       
-0.00093139946        -0.12164696       -0.00039981537        -0.14023704       +1.0053478e-05       -6.5269250e-05       
-0.00071307545       -0.021618960       -0.00095510874        -0.17338832       -8.7030894e-06       +7.3418078e-05       
-0.0013972150        +0.15147973       -4.7856013e-05       +0.047401201       -2.3359703e-06       +9.5300519e-05       
+0.00047274441        -0.13188792       +0.0010385286        -0.11967986       +2.1824072e-06       +0.00016014151       
+0.00025296113        -0.17592034       +0.00082090989       +0.080069910       -9.6293481e-06       -3.8293605e-05       
-0.0011355457        -0.14321146       -2.3829024e-05        -0.10643375       +2.2306230e-07       -1.6606098e-05       
-0.0016134345       +0.090003877       +1.1953560e-05        +0.10297644       +1.3934694e-06       -9.3167796e-07       
-0.00078485651       -0.088869421       +0.0014889690       -0.092249256       -1.8334145e-06       +0.00011765413       
-0.00080502460       +0.092135462       -0.0016580885       -0.047705549       +1.3423402e-05       +1.6642198e-05       
-0.0018844269       -0.057113729       +0.00067130206       -0.038195436       +7.8072323e-06       -5.7279585e-05       
+0.0020655570       +0.028945325       -0.00032366296       -0.013686327       -1.5671434e-05       +4.5842914e-06       
+0.00087562793       -0.065267777       +0.0013919010        +0.11591796       +9.9604412e-06       +0.00010723253       
+0.0015500575       -0.051670687       -0.0013316140       +0.017589231       +6.3205255e-06       -7.6211743e-05       
-0.0012139625       -0.0076594734       -0.00036553425        +0.16913342       +1.3149001e-05       +0.00013286576       
+0.00048075092        -0.13630867       +0.0014475937       +0.053772109       +1.6424008e-06       -3.2780365e-05       
+0.0011609367       +0.043703760       -0.00053035746        -0.16290314       +1.7630299e-06       -4.0028042e-05       
-0.00044985255        +0.15718768       +0.00098438489       +0.091193236       +4.9955467e-06       -0.00012491638       
+0.0012404689       -0.015561536       +4.0564988e-05        -0.17056299       -1.3414093e-05       +8.2855001e-05       
-0.00085391310        -0.11084913       +0.0011692949        +0.10717403       +1.0392486e-05       -7.7944870e-05       
+0.00036061942        -0.19660367       -0.00035243130       -0.059518360       -5.9301894e-06       -6.6405802e-05       
+0.00072578516        -0.19588034       -0.00012781821       -0.030624483       +1.0214465e-05       -3.8270519e-05       
-0.0013148018       -0.033648522       -0.0013957298       -0.082692825       -7.4667959e-06       +0.00011642352       
+0.0010875176       -0.040593353       -0.0017281448       -0.037394838       +1.0274051e-05       +4.4583760e-05       
-0.0014588981        -0.12447900       +0.00085834723       +0.024321317       +1.5344834e-05       +8.7905466e-05       
+0.00094757412        +0.12288147       +0.00082949632        -0.11738193       +7.6269917e-06       +2.2160681e-05       
+0.00046673647        -0.13916890       +0.0012606840       -0.085430262       +1.8015622e-05       -9.9471427e-06       
+0.00053317997        +0.17924609       +0.00030788962       +0.093904488       -1.7602748e-05       +1.9569465e-05       
+0.0010521687        -0.13631230       +0.00052497409        +0.11104220       +3.6541068e-06       -0.00017095251       
-0.0017484111        +0.10048584       +0.00029054642       -0.056806609       -5.1278381e-06       +0.00013173535       
-0.0018598576       -0.028171367       -0.00076746984       -0.058851966       +7.9953745e-06       +4.8129372e-05       
-0.00071618042       -0.022546207       -0.0016734890        +0.10533211       +3.4926003e-08       -3.1900373e-05       
+0.00091459287        +0.10617190       +0.0015082081       -0.048515892       +2.3854918e-06       +0.00010347989       
+0.0010015728        -0.16782849       +0.00063464853       -0.050122954       +8.3637991e-06       -9.9429643e-05       
+0.0011919831       +0.010164374       -0.0017430649       -0.0066088481       +1.6465951e-05       -1.8604628e-05       
-0.0010977731       +0.017160815       -0.0010442609        -0.14658657       +6.1782639e-06       -0.00017246267       
+0.0013827450       -0.0054705687       -0.0015303432       +0.046569457       +7.8207002e-06       -6.5104325e-05       
+0.00036169786        +0.14860053       -0.00080623098        -0.12185043       +1.7086888e-05       +8.1999468e-06       
-0.0011455309       -0.036597568       -0.0017353925       -0.012661716       +8.2809873e-06       +0.00011172775       
-0.00050996859       -0.061815236       +0.0017636056       -0.084930167       -1.4897287e-05       -9.0234776e-05       
+0.00069711305       -0.096852072       -0.0016691570       +0.051353091       -5.2899076e-06       +8.1267268e-05       
-0.00029867163        -0.17623550       +0.0011307714       +0.00073741841       -1.4930803e-06       +3.5587336e-05       
-0.00024952177        +0.11383910       +0.0011432698        +0.13448186       +1.7651584e-05       -4.2317129e-06       
-0.0011390473       +0.053138239       +0.0016776458       -0.028196937       -1.1371064e-05       -1.5518445e-05       
+0.0011011238       +0.091831079       +0.0015498463       -0.012651653       -3.9780278e-08       -0.00016857749       
+0.0010477627        -0.17798531       -0.00044349477       +0.010689614       +2.4787879e-06       -6.7352368e-05       
-0.00096802881       +0.064342283       -0.0017002134       +0.048166356       -1.2534669e-05       -1.1859952e-05       
+0.0014522003        -0.12997775       -0.00040467873       -0.071535030       -5.8111209e-06       -0.00015326274       
-0.00086063070       -0.034419712       +0.00038812441        +0.18611826       +8.5640094e-06       +0.00011570551       
-0.0015128772       +0.086913738       +0.00074754980       -0.093315077       -4.2329936e-06       +0.00014313001       
+0.0014924653        +0.10659735       -0.00028255887        -0.10149909       +1.1111238e-05       +2.2227518e-05       
-0.00086584862       +0.076790417       -0.0016022613       +0.075311780       +1.8248354e-06       -1.1997048e-06       
+0.0010090916       +0.056254915       -0.00039289156        -0.17276305       +1.3607564e-05       +0.00011710289       
-0.00011770514       -0.083910406       +0.0011883982        +0.15308683       -6.5304962e-07       -0.00014457561       
-0.00010496871       +0.090856869       -6.6740517e-05        +0.19059980       +1.1336857e-05       -4.1723153e-05       
-0.00037466124       +0.086841224       +0.0015957919        +0.10162359       +2.8592739e-06       -8.9783936e-05       
+0.0018106429       +0.014625626       -0.0010832960       +0.0021198080       -6.0824095e-06       +8.0060715e-05       
+0.00057844913       +0.096170680       -0.0013122567        +0.12215962       -1.0083299e-05       -7.1433240e-05       
+0.0016306691       -0.029226493       +0.0012264246       -0.047453197       +1.4130771e-05       +1.3833800e-05       
-0.00034180435        +0.12867037       -0.0010336780        +0.12778386       -1.0788972e-05       +9.0147657e-05       
-0.0015049727       -0.038082911       -0.0013843944       +0.038376662       +1.8169862e-05       +3.2587407e-05       
+0.00012035315        +0.19254250       +0.00047151541       -0.072782208       +2.5441407e-06       +3.0260473e-06       
+0.0012518956       -0.048006410       +0.0014454083       -0.076608670       +1.2531854e-05       +0.00010738151       
+0.00034204367        -0.17199938       -0.00069356989       -0.095780298       -1.3404387e-05       -2.0305931e-05       
-0.0012925294       -0.086966135       +0.0012474229       -0.070056492       +1.2310714e-05       +0.00010670776       
-0.00089221666       +0.069822692       +0.00018614417        +0.17763944       +5.8893297e-06       -6.7609217e-05       
-0.00051876428       -0.078147045       +4.5126170e-05        +0.18952439       -1.5685038e-05       -8.6030684e-05       
-0.0012527380        +0.12495160       -0.00097863750       +0.062082530       +2.6664597e-06       +3.6970433e-05       
+8.8082691e-05        -0.11915304       -0.0012857599        +0.11803035       -1.1811733e-05       -6.8666424e-05       
-0.00086324074       +0.097220711       -0.00077487130        -0.14774984       +1.7042867e-05       +3.0403928e-05       
+0.00013749091       -0.026215488       +0.00048799308        +0.20366718       +1.5863149e-05       +7.4763029e-05       
+0.0015857389       -0.0050057776       -0.0013373431       +0.041016847       +1.6530906e-05       +5.5603648e-05       
-0.0014972202       -0.099223985       -0.00087979731       +0.068814717       -3.9094491e-06       +0.00017008089       
+0.0015682818        -0.10553298       +0.00042763871       +0.084716860       +1.9611827e-06       -0.00016150998       
-0.00053217751       +0.061718671       +0.00024294408        -0.19366580       +1.7599329e-05       +2.5666463e-05       
+0.00089969562       +0.046801029       +0.00095309399        +0.15927725       +1.6528278e-06       -5.4292690e-05       
+0.0015362854        -0.14484482       +5.3863905e-05       -0.011279213       +1.0577456e-05       -7.9614726e-05       
+0.00078102289        +0.16573107       +0.00035106412       +0.099693360       +7.3551771e-06       -0.00011769529       
+0.00079140130       -0.094656188       +0.0016581157       -0.044961648       -7.3644322e-06       +0.00017282829       
-0.0020589314       +0.022088628       -0.00019187067       +0.038599804       -1.2132851e-05       +2.1928692e-05       
-0.0011001112       +0.025751748       +0.0010483223        +0.14485367       -1.0153775e-05       -8.0780530e-05       
+0.00046323971       -0.033311655       +0.0012455609        +0.16114648       +1.4783703e-07       -0.00013214580       
+0.00071256641        +0.15055239       -9.4760070e-05        -0.13001791       +1.0458483e-05       -8.0534457e-05       
-0.00073669318       +0.068363754       -0.0011485213        -0.14644521       +6.7146073e-06       +9.4146228e-05       
+5.2011710e-05       +0.047092771       +0.0020591600       +0.0095813674       -1.2310171e-06       +0.00016156386       
+0.0011197037       +0.0018308036       +0.0015516548       +0.090116266       +8.8641989e-06       +0.00016503438       
+0.00072028378       +0.0027594201       +0.0019362433       -0.045297893       -4.9687270e-06       -0.00010358443       
-4.1855727e-05        +0.11484949       +0.0011029530        +0.13915820       +5.1414059e-06       +6.0041375e-05       
+0.00057429109       -0.033706560       +0.0020068929       +0.0052494412       +1.0522044e-05       +0.00013580076       
+0.00076620479       -0.021188205       -0.0019536773       +0.015804845       -3.6039234e-06       -0.00017525114       
-0.00090333795        -0.16860695       +0.00085953095       -0.027596181       +6.4164356e-07       +0.00018294753       
-0.0014047638        -0.10065274       +0.00072508671       -0.098060623       +3.8840456e-07       -0.00018028238       
+0.0015150535       -0.020285532       +0.0014343325       +0.028275609       -1.4690489e-06       +0.00017166818       
+3.5767384e-05        -0.18723008       -0.00083657955       +0.051685911       +9.8296068e-06       -8.3791396e-05       
-0.00023072963       -0.075614496       -0.0012081321        -0.15457114       +6.4339009e-06       +8.8030848e-05       
-0.00068002745       +0.035978738       -0.0011877763        -0.15719737       +4.1200088e-06       +6.7657080e-05       
-0.00016176966       +0.043711790       -0.0011798452        -0.16924899       +2.3095960e-06       -8.5715150e-05       
+0.00061562777       +0.0043333898       +0.0017006737        -0.10957334       -8.5394401e-06       -7.6462880e-05       
+0.0017472712        -0.10772521       +0.00023004156       -0.045546713       +3.5321441e-06       -0.00015126114       
+0.00026703446        -0.20306406       +0.00010384928       -0.051788516       +1.1706076e-05       -0.00010119352       
+0.0013581119       -0.041342198       -0.0015006799       +0.045428204       +7.8543162e-06       -2.8588077e-05       
-0.00033014151        +0.14586275       +0.0014161006       +0.048152837       +6.2180576e-06       +1.1976954e-05       
+0.00014062981        -0.16976198       +0.0012301542       +0.024254734       +3.3219139e-06       +9.3590338e-05       
+0.0016482233       -0.021554976       +0.00027747585        -0.12781642       -2.0335868e-06       -0.00013790138       
+0.00051199735       -0.081124173       -0.0018786897       +0.015514174       -1.1989993e-05       +9.6108136e-05       
-0.00042003425        -0.15279560       +0.0011802108       -0.075486571       +2.8772700e-06       +0.00013283168       
-0.0010971144        -0.16990000       +0.00013187190       +0.060510068       +8.4974491e-06       -2.9366112e-06       
-0.00096735369       -0.048229456       +0.00026144815        +0.17991837       -6.0824553e-06       -6.0921224e-05       
-0.00084889469       -0.092481893       +0.0010924821        +0.13055148       +4.9170621e-06       -1.7070157e-05       
-0.00052806706        -0.14430858       +0.0012267364       -0.077946425       -2.4999756e-06       +0.00016670861       
+7.2508721e-05        +0.18258239       +0.00069381268       -0.080841322       +1.4955331e-05       +7.8921911e-05       
-4.4939536e-05        -0.11442336       +0.0010605223        +0.14275155       +1.3819955e-05       -3.1301284e-05       
+0.00085812168       +0.058440926       +0.0015649277       -0.097308404       -5.4753027e-06       -0.00013166483       
-0.00095953587       +0.013633310       +0.0014543344        -0.11913916       +6.6968981e-06       +8.2021199e-05       
-0.00018882016        +0.13674358       -0.00019717049        -0.15904051       -7.7221804e-06       +1.1143961e-05       
-0.00050282840        -0.19870235       -0.00048267151       +0.019931823       +1.7052026e-05       -4.6216915e-05       
+0.00010435457       -0.034867770       +0.0017128027        +0.11864397       +3.5635290e-07       -0.00012231100       
-0.0018617653       -0.041764884       -0.00043961136       -0.079996223       -7.5035456e-06       -2.2459194e-05       
+0.00066330134        +0.14781513       -0.00043506296        +0.12882618       -1.0279315e-05       +1.9526168e-05       
-0.00079505294        -0.11706736       +0.0015715136       -0.0039464695       -7.2583498e-06       -0.00013448486       
+0.0013028782       -0.084150486       +9.3123648e-05        +0.14350972       +4.3703690e-06       -4.8130744e-05       
-0.0012988342        -0.11541621       +0.0011996015       -0.012527567       -4.9055035e-06       +0.00014226251       
-0.0010831162        +0.10873917       +0.0012815297       +0.068986846       -7.8299556e-07       -6.5989993e-05       
+0.00084681141        +0.14263845       -0.0012315250       -0.045330129       -1.0507985e-05       +6.1267580e-05       
-0.00012657543        -0.17956429       +0.00052258823       -0.097997200       +6.0439602e-07       +0.00018670802       
+0.00064853037        -0.20064989       -0.00016002379       -0.0039509036       -4.9708641e-06       +5.4738311e-05       
+0.00019914328        -0.15649011       -0.00071575564        +0.12136386       +5.9119031e-06       -2.0694838e-05       
+0.0013807814       -0.038816016       +0.0010636410        -0.11336844       +7.6044244e-07       -5.0171493e-05       
-0.0012838237        +0.13730471       +0.00091684151       +0.031581335       -1.1795223e-05       +2.5461507e-05       
+0.0013037565       -0.069522160       -0.00039619570        -0.14607235       +6.1673597e-06       -0.00015695555       
-0.0011086321       +0.098586306       -0.0011209342        -0.10081238       -6.5640472e-06       -0.00016814408       
-0.00026752446        -0.10281591       +0.00020413636        +0.18175385       +1.7376140e-05       +6.1494540e-05       
+0.00044840295        +0.10008519       -0.0014158398        -0.11253561       +2.9441543e-06       -1.3856927e-05       
-0.00083988137       -0.038177142       +0.00025772543        -0.18857958       -1.2133331e-05       -1.0728437e-05       
+0.00093447911        -0.14013109       -0.0012766646       -0.0083678876       -1.5033220e-05       -3.1604915e-05       
+0.0011131441        -0.15386540       -0.00034375309       +0.086549748       -9.0036788e-06       +8.5323151e-05       
-0.00029484572        +0.10537381       +0.0015844746       +0.087518030       -1.1079067e-06       +9.2467933e-05       
+0.0010242084        -0.17675508       +0.00053372104       +0.012530511       +3.4046909e-06       +9.7611163e-05       
+0.00051049462       +0.014404814       -0.0017032463        +0.11363958       +3.9361003e-06       -0.00016519866       
-0.00019957198       -0.0072976374       -0.00099511467        +0.18542898       +1.7346574e-05       -1.3411806e-05       
+0.0010705950       +0.045389222       -0.00041020268        -0.17185285       +7.9618792e-06       +3.8542888e-05       
+0.00066040454        -0.16221665       -0.0010469482       +0.055690157       +1.1909864e-05       +0.00010716293       
-0.0013734195       -0.037744529       -0.0012345877       -0.095960687       +1.5466539e-05       +9.3905805e-05       
-0.0011678481        +0.15567888       +0.00038508562       +0.073351674       -5.6771592e-06       -0.00010285376       
-0.00011454169       -0.056769779       +0.0020231650       +0.021260541       +1.2495270e-05       +4.9426377e-06       
+0.0013533018       -0.083322914       +0.00093181359        -0.10391463       -8.3751282e-06       -4.1829002e-05       
-0.00065627808       -0.084104197       +0.00098092113        +0.15406296       -7.5149950e-06       +0.00013691809       
-0.00021019492       -0.085705933       +0.0019205765       -0.0080321251       +7.8390523e-06       +1.4668137e-05       
-0.00046541725       -0.063081367       +0.0019113125       +0.045403030       +3.4971731e-06       +0.00017525573       
-0.0011637234        -0.13842398       -0.00091532273       -0.060465741       -4.9339495e-06       +5.4118347e-05       
-0.00069398927        +0.11487381       -0.00090412304        -0.13620350       +8.7154617e-06       +0.00011634462       
-0.0010253017        -0.14266259       -0.0011544973       +0.023330062       -9.9268687e-06       +4.9758346e-05       
+0.00035547963        +0.10350477       +0.0018057196       +0.012444025       -4.0008723e-06       -1.4147369e-06       
-0.0010186175        +0.13880029       -0.00080314315       +0.092985247       +1.2573823e-05       +0.00011456752       
-0.00023875752        +0.14604445       +0.0013164838       +0.074213552       -2.1483383e-06       -4.4190358e-05       
-0.00035073344        -0.14115025       +0.0015345811       -0.0059209603       -1.5231739e-05       +6.9817614e-05       
-0.0015870612       +0.044107966       -0.00085597257        -0.10138020       -1.8057407e-07       -6.8347542e-05       
-0.00028921141        +0.13838062       -0.00092575645        +0.12720890       -7.7858934e-06       -3.4853841e-05       
+0.00086987620        +0.11276697       +0.0015637679       -0.0010235211       -2.6143620e-06       -4.6934452e-05       
-0.0011720744       +0.069892894       -0.0010479925        -0.12301422       -7.7356987e-06       -8.9523320e-06       
+0.0019139636       +0.014223366       +0.00087733163       -0.014352856       +8.7445986e-06       -4.5079908e-05       
-0.00037689569       +0.077675498       -0.0013652502        -0.13654638       -9.1563276e-06       -4.8555374e-05       
+0.0016661024       +0.059023292       +0.00051015950        -0.10436778       -8.5675614e-06       -1.7767616e-05       
-0.0013626030        +0.11038993       +0.00054928319        +0.10472849       -7.4352776e-07       -3.7764507e-05       
+0.00098345697       -0.069454056       -0.0016502048       +0.054867857       -4.8861696e-06       -6.8316841e-05       
-0.00094015335       +0.044742395       +0.00098505264        +0.15554398       +7.2011289e-06       -8.4961332e-05       
+0.00046569997       -0.094586414       -0.0013600431        -0.12298559       -2.2196765e-06       -0.00018006555       
-0.0011761379        +0.11601502       +0.0010675715       -0.077771481       -7.7221715e-06       -1.2680600e-05       
+0.00095368441       -0.050333450       +0.0017466321       +0.051011283       -1.1068693e-05       +4.0039097e-05       
-0.0010796308       -0.0043787118       -0.0017601797       +0.045612027       -1.7851466e-06       +0.00011614325       
-0.00068137820        -0.15245026       -0.0012774044       +0.023162826       +2.6143437e-06       +3.5532098e-07       
-0.0016949289       -0.017624667       +0.00033707442        -0.12067859       -4.1169607e-06       -0.00012720754       
+0.00013623330       -0.029850942       +0.0012018802        -0.17092732       -1.4049027e-05       +1.3326581e-05       
+0.00064703881       +0.069550770       +0.00012851158        +0.18854423       -5.9039047e-06       +2.1970661e-05       
+0.00012478172       -0.033512524       +0.0013156052        +0.16171276       +4.4028480e-07       +0.00013924462       
-0.0014802880       -0.063409870       -0.0012385376       -0.058863316       +8.2354720e-06       -6.2851800e-05       
-0.00055164248        +0.12540112       -0.0012635118        +0.10002412       +1.4675385e-05       -2.7173540e-05       
-0.00051826848        -0.18225497       +0.00011496945       -0.093289372       +2.5716092e-06       -8.1413029e-05       
-0.0018949661       +0.066908849       -0.00023425241       -0.061672366       -7.3878295e-06       +4.7413299e-05       
+0.00077774540        +0.17975995       +0.00025303894       +0.075730940       +1.3981386e-05       +1.8558395e-05       
-0.0012349928       -0.050466225       +0.0012089742        -0.11100849       +1.1678850e-05       +1.3094629e-06       
+0.0017368940        -0.10619379       -0.00046055431       +0.034230883       -1.0042205e-05       +4.9859157e-07       
+0.00059009627       -0.049700356       +0.00041251499        +0.19257215       +1.3627126e-05       -5.4620006e-05       
-0.00043649987        -0.10424902       -0.0010248877        +0.14649524       +5.5696635e-06       -0.00010476984       
-0.00024805536       -0.038182932       +0.0011729269        +0.17002105       -2.5830419e-06       +0.00012621544       
+0.0017715558       +0.095422186       -0.00012897053       -0.063891742       +1.7620397e-05       -2.1813617e-05       
-0.00066115179        -0.10290907       +0.0016857676       +0.036856026       -7.6501302e-06       +9.9696436e-05       
+0.0012737745        -0.16085193       -3.1734854e-05       -0.051279156       +5.8111004e-06       +7.9183376e-05       
+0.00083936954       -0.025027255       +0.00075191192        +0.17723569       +1.3010026e-05       -5.8648112e-05       
+0.0012038495       +0.083357101       -0.0010528831        +0.11050526       -8.6454498e-06       +8.8260382e-05       
-0.00035597801        -0.10623225       +0.0016369081       -0.073422117       +2.0131693e-06       -1.2852947e-06       
+0.00018523589        -0.13228068       +0.00092656114        -0.13532008       -3.9302267e-06       -0.00013963604       
-3.1027838e-05       -0.0037075277       -0.00021021534        -0.21041080       +1.0458513e-05       +7.6387736e-05       
-0.0011347402        +0.14900690       -0.00086429889       +0.046780857       -4.9409522e-06       -0.00016847136       
-0.00049209701        +0.13086891       +0.0013939286       +0.075890359       +1.2869868e-06       +0.00017011984       
-0.00091949390       +0.064876680       +0.00097871434        +0.14998497       -8.1532616e-06       +0.00010967090       
+0.0014475523       +0.065668245       +0.00057100204        -0.12732303       +9.1414793e-06       -5.9815807e-05       
+0.0010770770        +0.11014923       -0.00066852822        -0.12858803       -5.1610469e-06       -5.9722548e-05       
+0.0018067091       -0.052119171       -0.00067364901       -0.069581378       +8.0674535e-06       +3.4327382e-05       
-0.0016255158       +0.024652358       -0.00021672119        -0.13129183       -1.1492860e-05       -0.00013019108       
+0.00034305740       +0.096172932       -0.0016370567       +0.086673637       -9.1183569e-06       -8.9432100e-05       
+0.00033496805        -0.11093365       +0.00060308321        +0.16635077       +4.8044047e-06       +9.7511236e-06       
+0.00040775138        -0.13665728       +0.00078449561        -0.13507710       -7.3782637e-06       -2.9384195e-05       
+0.0017901727       +0.013570141       +0.00042909271        +0.10327364       -3.8490993e-06       -0.00010434487       
-0.0010309110       -0.052602099       -0.0017693713       +0.0060397719       +1.1114113e-05       -0.00011047888       
-0.00025898014       +0.095781842       +0.0014886689        -0.11283512       -9.6438492e-06       +0.00013194969       
-7.5023785e-05       -0.052160733       +0.0019978547       -0.045240683       +1.7117900e-05       +1.6103252e-05       
+0.00034372191       +0.098885400       +0.0015434234       +0.099783041       +7.5252540e-06       -0.00011895896       
-0.0013301737       +0.088681386       +0.0013258697       +0.040008374       -4.9182936e-06       -4.8367220e-05       
+0.00066205145        -0.19451581       -0.00049675249       -0.0071296440       +2.6864876e-06       -0.00016416030       
-0.00089934762       -0.041744451       -0.00037134292        -0.18310698       -1.7057151e-06       +3.7957925e-05       
-0.00022503334        +0.18751135       -0.00094829189       -0.0088599914       +2.3775207e-08       +0.00010827877       
+0.00064649949        -0.15092788       -0.00049844806        +0.12367149       +1.6113585e-05       +7.8727167e-05       
+0.0015406900        +0.10324556       -0.00045034814       +0.091175350       -1.8447874e-06       -0.00011453955       
+0.00044571154        -0.15501517       +0.0010973231       -0.081734383       +7.0887770e-06       +1.5461156e-05       
-0.00055661897       -0.028142694       +0.00074238674        +0.18797964       -3.2234652e-06       +0.00015210088       
-0.00091959238       -0.0071967447       +0.0016527796       -0.094408067       -1.6700863e-05       +5.1767220e-05       
-0.00010995538       +0.099864961       +0.0014026569        +0.12235034       +5.4083962e-06       -4.1887645e-05       
-0.00025717533       -0.073117006       -0.0019515870       -0.025368827       +1.1764215e-06       -0.00016476188       
+9.6969108e-06       -0.062608767       -0.00089207588        +0.18127104       +1.0914417e-05       -1.1399127e-05       
-0.0015563221       -0.032456101       +0.0010857599       -0.087603957       +9.0730157e-06       -3.9430172e-05       
-0.00017730383        -0.19382876       +0.00043938607       +0.070167124       -1.1422034e-05       -8.8760664e-05       
+0.00081798355       +0.090336398       +0.0017081064       -0.026647152       -5.3359662e-06       -0.00016757662       
-0.00020126886       +0.023110330       +0.0018973506       +0.088314279       -6.3791639e-06       +0.00013012893       
+0.00035844714        -0.17303511       +0.00076263389       -0.087726193       +6.7665346e-06       +0.00013187588       
-0.00063459327        -0.17820576       -0.00087623280       +0.035717828       -1.6534365e-05       +5.2555130e-06       
-0.0016506648       -0.0055742004       +0.0012587936       -0.040179035       -9.3900596e-06       -0.00010714253       
-0.00032705700        +0.17292665       +0.00023228313        +0.11500060       -1.1264500e-05       -2.7657734e-06       
+0.00098199198        +0.12736932       +0.0011800279       -0.070337011       -8.5838723e-07       -0.00010354704       
+0.00047446421       +0.018040650       -0.0010238745        -0.17798361       -1.1980743e-05       +8.9034555e-05       
-0.0018112989       +0.0081112651       +0.00033894653        +0.10351475       +5.6187129e-06       +5.4893480e-05       
-0.0011797212        -0.15424126       +0.00076975286       -0.033241556       -1.1691132e-05       -2.6040993e-05       
-0.00068471221        +0.16068136       +0.0010856835       +0.049437714       -5.9230831e-06       -0.00010066815       
-0.00047580341        +0.17130332       -0.0010429542       +0.047452405       +9.0745371e-06       +4.6160611e-05       
-0.0013955807       -0.095028472       +0.00028141386        +0.12425450       -1.2528304e-05       +3.4488149e-05       
+0.00052204720        -0.17852360       +0.00085065758       -0.053905384       -5.6666304e-06       -0.00013776154       
+0.00048224392        +0.11250529       -0.0014873776       +0.087361474       +9.7739702e-06       +8.8687476e-05       
-0.0013096495       +0.0055795023       -0.00056006120        -0.15626371       +1.1632501e-06       -0.00017888303       
+0.00074147120       -0.043814925       +0.0010422562        -0.16265749       -1.1803961e-05       +3.2825069e-05       
+0.00066282405       -0.082773590       +0.0014705570        -0.10893933       +3.8661219e-06       -6.9868114e-05       
+0.0011601031        +0.11264075       -0.0010582200       +0.085984622       -1.0159877e-05       -0.00015355356       
-0.00024420523        +0.12891306       +0.0016132088       +0.038711938       -3.8436654e-07       +0.00016781429       
-0.0011583970       -0.081845737       -0.00093496643        +0.12601111       +2.0855572e-06       -2.2177796e-05       
+0.0010139586       -0.082425297       -0.0010217529        -0.13123697       -1.2412238e-05       -6.6923788e-05       
-5.4011332e-05        +0.20604645       +3.0228883e-05       +0.047376483       +1.3135899e-05       +0.00010057558       
-0.0018003543       +0.021746703       +0.0010622589       +0.023840442       -1.6794480e-05       +2.1021236e-05       
+0.0011682784        +0.15250782       +0.00016205993       +0.086994074       +1.1079209e-05       -6.6292300e-06       
+0.00010095607        -0.13497338       -0.00036540958        -0.15837615       +8.0824547e-06       +4.9236229e-05       
-0.0014716094        -0.10148051       -0.00077930341       -0.081915848       -7.7542100e-06       -0.00013125609       
-0.0011084522        +0.16369157       -0.00074935763       +0.0064046367       -1.0595276e-05       +9.4674559e-06       
+0.00013509140        -0.20842002       -0.00025868937       -0.021151327       -1.4115841e-05       -2.9458159e-05       
